port,x,y
1,0.05,0.05
2,0.05,0.2
3,0.05,0.5
4,0.05,0.8
5,0.05,0.95
6,0.121,0.121
7,0.121,0.879
8,0.125,0.2
9,0.125,0.5
10,0.125,0.8
11,0.275,0.2
12,0.275,0.5
13,0.275,0.8
14,0.35,0.2
15,0.35,0.5
16,0.35,0.8
17,0.5,0.05
18,0.5,0.125
19,0.5,0.275
20,0.5,0.35
21,0.5,0.65
22,0.5,0.725
23,0.5,0.8
24,0.5,0.875
25,0.5,0.95
26,0.606,0.394
27,0.606,0.606
28,0.648,0.352
29,0.648,0.648
30,0.65,0.5
31,0.691,0.309
32,0.691,0.691
33,0.725,0.5
34,0.733,0.267
35,0.733,0.733
36,0.875,0.5
37,0.879,0.121
38,0.879,0.879
39,0.95,0.05
40,0.95,0.5
41,0.95,0.95
